run_set,condition,n_agents,model,rounds_cap,history_limit,runs,total_messages_mean,total_messages_std,unique_pairs_mean,unique_pairs_std,success_count_mean,success_count_std,success_rate_mean,success_rate_std,rounds_run_mean,rounds_run_std,exchange_inbox_messages_mean,exchange_inbox_messages_std,exchange_outbox_messages_mean,exchange_outbox_messages_std,exchange_price_update_count_mean,exchange_price_update_count_std,exchange_price_abs_change_mean,exchange_price_abs_change_std,credit_proposals_mean,credit_proposals_std,credit_accepts_mean,credit_accepts_std,send_messages_mean,send_messages_std,invalid_actions_mean,invalid_actions_std
runs,barter,3,gpt-5-mini,12,10,2,7.0,1.4142135623730951,3.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs,barter,5,gpt-5-mini,12,10,1,13.0,,6.0,,5.0,,1.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_51codex_smoke,barter,3,gpt-5.1-codex-mini,6,10,1,2.0,,1.0,,1.0,,0.3333333333333333,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_51codex_smoke,barter,5,gpt-5.1-codex-mini,6,10,1,9.0,,4.0,,1.0,,0.2,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_51codex_smoke,money_exchange,3,gpt-5.1-codex-mini,6,10,1,24.0,,3.0,,3.0,,1.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_51codex_smoke,money_exchange,5,gpt-5.1-codex-mini,6,10,1,40.0,,5.0,,5.0,,1.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_5mini_credit_smoke,barter_credit,5,gpt-5-mini,6,10,1,9.0,,4.0,,5.0,,1.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
runs_5mini_emergent,barter,8,gpt-5-mini,8,10,3,35.0,4.0,9.333333333333334,2.0816659994661326,4.0,0.0,0.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs_5mini_emergent,barter_credit,8,gpt-5-mini,8,10,3,34.666666666666664,4.163331998932264,8.666666666666666,1.5275252316519468,4.333333333333333,0.5773502691896258,0.5416666666666666,0.07216878364870323,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0
runs_5mini_full,barter,3,gpt-5-mini,8,10,3,7.0,2.0,2.6666666666666665,0.5773502691896257,3.0,0.0,1.0,0.0,4.333333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
